seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,SWITCH_PENALTY,RETRACK_CONFLICT_WINDOW,min_objective_improvement,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock,retrack_conflict_window
11,RCW900,3600,1200,0.0,900,-10000.0,39317.79999999999,37287.79999999998,2030.0000000000043,0.3075041661388947,163,94,0,0,10873,4.2919533252716064,0.0456590779284213,0.864526809528189,9400.0,False,900
12,RCW900,3600,1200,0.0,900,-10000.0,45008.299999999974,39680.599999999984,5327.6999999999925,0.7583736908444693,168,94,0,0,10867,4.371917963027954,0.0465097655641271,0.8650041409772706,9400.0,False,900
13,RCW900,3600,1200,0.0,900,-10000.0,41037.2,37083.19999999999,3954.000000000007,0.6022560733049591,145,94,0,0,10893,4.354088306427002,0.0463200883662447,0.862939502432755,9400.0,False,900
14,RCW900,3600,1200,0.0,900,-10000.0,11717.8,11160.0,557.8000000000015,0.1092745449434257,59,36,0,0,2413,130.33371925354004,3.620381090376112,1.491918773311231,3600.0,True,900
15,RCW900,3600,1200,0.0,900,-10000.0,38806.5,37216.19999999999,1590.3000000000106,0.2413619237421791,135,94,0,0,10882,4.325068712234497,0.0460113692790903,0.863811799301599,9400.0,False,900
16,RCW900,3600,1200,0.0,900,-10000.0,38832.6,36817.899999999994,2014.7000000000023,0.3090815626620226,136,94,0,0,10884,4.250848054885864,0.0452217878179347,0.8636530687247336,9400.0,False,900
17,RCW900,3600,1200,0.0,900,-10000.0,39781.40000000005,39248.700000000026,532.7000000000235,0.0766618237821138,138,93,0,0,10897,4.34057092666626,0.046672805663078,0.853445902541984,9300.0,False,900
18,RCW900,3600,1200,0.0,900,-10000.0,39490.9,36831.3,2659.5999999999976,0.4078692862851985,143,94,0,0,10868,4.2593536376953125,0.0453122727414394,0.8649245491350755,9400.0,False,900
19,RCW900,3600,1200,0.0,900,-10000.0,42004.299999999974,39436.39999999998,2567.8999999999924,0.3677922477153635,176,94,0,0,10881,4.352813959121704,0.0463065314800181,0.8638911864718317,9400.0,False,900
20,RCW900,3600,1200,0.0,900,-10000.0,40949.2,39599.09999999999,1350.1000000000022,0.192576082800861,151,94,0,0,10898,4.513043165206909,0.0480110975022011,0.8625435859790788,9400.0,False,900
