seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock
16,RW3600_CW600,3600,600,40031.70000000001,37757.8,2273.9000000000106,0.3401624780359785,135,94,0,0,10899,2.490248918533325,0.0264920097716311,0.8624644462794752,9400.0,False
17,RW3600_CW600,3600,600,39998.60000000001,38755.10000000002,1243.4999999999918,0.1812335737677164,107,93,0,0,10879,2.603721857070923,0.0279970092158163,0.8548579832705213,9300.0,False
18,RW3600_CW600,3600,600,44547.4,40743.8,3803.6000000000063,0.5272966765414706,115,94,0,0,10920,2.5419061183929443,0.0270415544509887,0.8608058608058609,9400.0,False
19,RW3600_CW600,3600,600,42125.19999999999,39088.69999999999,3036.5,0.4387769299111964,139,94,0,0,10881,2.5941808223724365,0.027597668323111,0.8638911864718317,9400.0,False
20,RW3600_CW600,3600,600,40055.20000000002,39005.00000000001,1050.200000000014,0.1520804743263422,114,94,0,0,10886,2.5607447624206543,0.0272419655576665,0.8634943964725336,9400.0,False
21,RW3600_CW600,3600,600,39606.971869418085,38667.671869418096,939.299999999987,0.1372075547039256,110,94,0,0,10899,2.6000046730041504,0.0276596241808952,0.8624644462794752,9400.0,False
22,RW3600_CW600,3600,600,39047.89999999997,35384.29999999999,3663.5999999999817,0.5848158957193162,133,94,0,0,10874,2.3850529193878174,0.0253729033977427,0.8644473054993563,9400.0,False
23,RW3600_CW600,3600,600,39081.50000000002,35112.5,3969.00000000002,0.6384708491935295,129,94,0,0,10866,2.560141086578369,0.0272355434742379,0.8650837474691699,9400.0,False
24,RW3600_CW600,3600,600,36689.8,34267.1,2422.699999999998,0.3993411038127396,116,95,0,0,10860,2.451648473739624,0.0258068260393644,0.8747697974217311,9500.0,False
0,RW3600_CW1200,3600,1200,36447.499999999985,35136.5,1310.9999999999818,0.210749192747966,212,94,0,0,10886,4.392219305038452,0.0467257372876431,0.8634943964725336,9400.0,False
1,RW3600_CW1200,3600,1200,40019.39999999999,36516.3,3503.0999999999913,0.5418605022781775,190,94,0,0,10902,4.4520509243011475,0.0473622438755441,0.8622271142909558,9400.0,False
2,RW3600_CW1200,3600,1200,41875.3,38095.4,3779.900000000001,0.5604404835125605,198,93,0,0,10887,4.378324031829834,0.0470787530304283,0.8542298153761366,9300.0,False
3,RW3600_CW1200,3600,1200,37680.999999999985,36235.09999999999,1445.899999999991,0.2253878600680445,197,93,0,0,10880,4.3895487785339355,0.0471994492315476,0.854779411764706,9300.0,False
4,RW3600_CW1200,3600,1200,43365.40000000001,42212.7,1152.700000000008,0.1542392442334887,190,94,0,0,10911,4.838891506195068,0.0514775692148411,0.8615159013839244,9400.0,False
5,RW3600_CW1200,3600,1200,42245.20000000003,39530.50000000002,2714.7000000000144,0.3878923924508997,177,94,0,0,10887,4.3796563148498535,0.0465920884558495,0.8634150822081382,9400.0,False
6,RW3600_CW1200,3600,1200,37488.49999999999,34461.899999999994,3026.5999999999976,0.4960638008612725,186,94,0,0,10866,4.246547222137451,0.0451760342780579,0.8650837474691699,9400.0,False
7,RW3600_CW1200,3600,1200,38780.49999999997,36106.99999999997,2673.499999999999,0.4182255000932822,224,94,0,0,10875,4.259602785110474,0.0453149232458561,0.864367816091954,9400.0,False
8,RW3600_CW1200,3600,1200,38906.70000000001,35749.00000000001,3157.700000000006,0.498917452236427,186,93,0,0,10866,4.305314540863037,0.0462937047404627,0.8558807288790724,9300.0,False
9,RW3600_CW1200,3600,1200,36545.80000000001,35063.600000000006,1482.2000000000037,0.2387657517535801,184,94,0,0,10863,4.291087865829468,0.0456498709130794,0.8653226548835496,9400.0,False
10,RW3600_CW1200,3600,1200,36713.19999999998,34157.8,2555.3999999999796,0.42256227866542,226,94,0,0,10869,4.362064361572266,0.0464049400167262,0.8648449719385408,9400.0,False
11,RW3600_CW1200,3600,1200,38488.0,36172.99999999999,2315.0000000000045,0.3614832628185137,178,94,0,0,10871,4.362173080444336,0.0464060966004716,0.8646858614662865,9400.0,False
12,RW3600_CW1200,3600,1200,46863.49999999996,41582.599999999984,5280.899999999982,0.7173284070688253,216,94,0,0,10908,4.364975452423096,0.0464359090683308,0.8617528419508618,9400.0,False
13,RW3600_CW1200,3600,1200,41538.39999999998,37694.199999999975,3844.200000000004,0.5760407013968579,198,94,0,0,10878,4.548427104949951,0.0483875223930845,0.8641294355580069,9400.0,False
14,RW3600_CW1200,3600,1200,11349.4,10967.0,382.4000000000019,0.0769863144789909,66,36,0,0,2415,126.53293418884276,3.514803727467855,1.4906832298136643,3600.0,True
15,RW3600_CW1200,3600,1200,38351.7,36940.5,1411.1999999999994,0.2157781796714674,179,95,0,0,10874,4.273580312728882,0.0449850559234619,0.8736435534302004,9500.0,False
16,RW3600_CW1200,3600,1200,39035.5,36421.3,2614.199999999999,0.4054199295225835,218,94,0,0,10885,4.341836214065552,0.0461897469581441,0.8635737253100597,9400.0,False
17,RW3600_CW1200,3600,1200,41955.50000000005,41350.10000000003,605.4000000000133,0.082696585689325,172,93,0,0,10912,4.604457378387451,0.0495102943912629,0.8522727272727272,9300.0,False
18,RW3600_CW1200,3600,1200,42877.8,37025.09999999999,5852.7000000000035,0.8928566753987895,191,94,0,0,10874,4.301455736160278,0.0457601674059604,0.8644473054993563,9400.0,False
19,RW3600_CW1200,3600,1200,41089.79999999998,38142.79999999998,2947.0,0.4364045719688202,187,94,0,0,10882,4.499191761016846,0.047863742138477,0.863811799301599,9400.0,False
