seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,SWITCH_PENALTY,RETRACK_CONFLICT_WINDOW,DISPATCHER_PRIORITY_TTL,min_objective_improvement,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock,ttl
11,TTL1350,3600,1200,120,900,1350.0,60,40752.899999999994,37571.600000000006,3181.2999999999847,0.47826286607174057,15,46,0,48,10898,2.5977885723114014,0.05647366461546525,0.42209579739401726,4600.0,False,1350
12,TTL1350,3600,1200,120,900,1350.0,60,46385.39999999996,38881.89999999997,7503.499999999988,1.0900292062220867,18,50,0,44,10900,3.1143243312835693,0.062286486625671385,0.45871559633027525,5000.0,False,1350
13,TTL1350,3600,1200,120,900,1350.0,60,40757.69999999998,37734.19999999999,3023.4999999999905,0.4525812448333649,13,47,0,47,10899,2.689389705657959,0.05722105756719062,0.4312322231397376,4700.0,False,1350
14,TTL1350,3600,1200,120,900,1350.0,60,42383.299999999974,38502.899999999994,3880.399999999979,0.5692522832374606,16,45,0,49,10891,2.566037893295288,0.05702306429545085,0.4131851987879901,4500.0,False,1350
15,TTL1350,3600,1200,120,900,1350.0,60,39510.99999999998,37283.09999999999,2227.8999999999837,0.33752457916220885,15,47,0,47,10887,2.6531894207000732,0.05645083873829943,0.4317075411040691,4700.0,False,1350
16,TTL1350,3600,1200,120,900,1350.0,60,40922.09999999998,38135.999999999985,2786.0999999999885,0.41265136688358683,15,42,0,52,10891,2.6364800930023193,0.06277333554767427,0.3856395188687908,4200.0,False,1350
17,TTL1350,3600,1200,120,900,1350.0,60,40913.50000000002,38984.400000000016,1929.100000000005,0.2795024462306766,14,45,0,48,10901,2.5402920246124268,0.05645093388027615,0.41280616457205754,4500.0,False,1350
18,TTL1350,3600,1200,120,900,1350.0,60,40815.89999999997,37748.399999999994,3067.49999999998,0.4589947833899866,16,43,0,50,10883,2.433981418609619,0.056604219037433005,0.39511164201047505,4300.0,False,1350
19,TTL1350,3600,1200,120,900,1350.0,60,40914.79999999998,38714.200000000004,2200.59999999998,0.32106469040720254,13,45,0,49,10889,2.7166011333465576,0.060368914074367945,0.41326108917255944,4500.0,False,1350
20,TTL1350,3600,1200,120,900,1350.0,60,41479.59999999998,39215.89999999998,2263.699999999995,0.3260456505237315,17,41,0,53,10900,2.5517356395721436,0.06223745462371082,0.3761467889908257,4100.0,False,1350
21,TTL1350,3600,1200,120,900,1350.0,60,39566.499999999935,37960.499999999956,1605.9999999999804,0.23896557598695084,13,44,0,51,10888,2.312659740447998,0.05256044864654541,0.4041146216017634,4400.0,False,1350
22,TTL1350,3600,1200,120,900,1350.0,60,38309.1,36135.1,2173.999999999999,0.33982240213854337,16,45,0,49,10871,2.5553300380706787,0.0567851119571262,0.4139453592125839,4500.0,False,1350
23,TTL1350,3600,1200,120,900,1350.0,60,41569.299999999974,37757.69999999999,3811.5999999999867,0.5701951427882809,18,47,0,47,10898,2.6526005268096924,0.056438309081057285,0.4312717929895394,4700.0,False,1350
24,TTL1350,3600,1200,120,900,1350.0,60,36273.99999999997,32937.99999999998,3335.9999999999945,0.5720718045692234,16,43,0,51,10858,2.354656457901001,0.0547594525093256,0.3960213667342052,4300.0,False,1350
0,TTL1800,3600,1200,120,900,1800.0,60,43872.099999999984,39249.19999999999,4622.899999999993,0.6652814537663138,15,49,0,45,10905,2.7473065853118896,0.056067481332895706,0.4493351673544246,4900.0,False,1800
1,TTL1800,3600,1200,120,900,1800.0,60,40668.800000000105,38195.60000000011,2473.199999999997,0.3657359302302684,14,41,0,54,10900,2.6308810710906982,0.06416783100221216,0.3761467889908257,4100.0,False,1800
2,TTL1800,3600,1200,120,900,1800.0,60,42152.19999999998,38583.999999999985,3568.2000000000007,0.5223524868248072,13,44,0,50,10884,2.56307053565979,0.05825160308317705,0.40426313855200297,4400.0,False,1800
3,TTL1800,3600,1200,120,900,1800.0,60,40605.89999999998,37802.19999999998,2803.7000000000007,0.4189249175043656,13,44,0,49,10896,2.531888723373413,0.057542925531213936,0.4038179148311307,4400.0,False,1800
