seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,trigger_strategy,event_driven_freq,controller_freq,threshold_confidence,mc_delay_per_train,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock
16,MC120,3600,1200,event_driven,900,900,0.6,120,38843.60000000002,36790.000000000015,2053.6000000000076,0.3152882561852401,89,37,95,0,10902,2.2347214221954346,0.0603978762755522,0.3393872683911209,38.94736842105263,False
17,MC120,3600,1200,event_driven,900,900,0.6,120,39645.100000000035,38275.00000000002,1370.1000000000104,0.2021895909446544,109,55,94,0,10898,3.3009955883026123,0.060018101605502,0.5046797577537163,58.51063829787234,False
18,MC120,3600,1200,event_driven,900,900,0.6,120,41379.90000000001,39178.80000000001,2201.0999999999976,0.317329443811112,88,56,94,0,10892,3.2679800987243652,0.0583567874772208,0.5141388174807198,59.57446808510638,False
19,MC120,3600,1200,event_driven,900,900,0.6,120,40061.29999999997,38954.69999999998,1106.5999999999854,0.1604547316258591,87,48,95,0,10895,2.844435930252075,0.0592590818802515,0.4405690683799908,50.526315789473685,False
20,MC120,3600,1200,event_driven,900,900,0.6,120,40149.09999999999,38668.89999999999,1480.2000000000044,0.2162122560996081,98,48,95,0,10859,2.7367677688598633,0.0570159951845804,0.4420296528225435,50.526315789473685,False
21,MC120,3600,1200,event_driven,900,900,0.6,120,31440.99999999998,30773.999999999985,666.9999999999966,0.1078040583448122,94,43,75,0,7990,133.08844804763794,3.0950801871543705,0.5381727158948686,57.333333333333336,True
22,MC120,3600,1200,event_driven,900,900,0.6,120,37267.79999999999,35286.69999999999,1981.1000000000015,0.3171152148132147,96,53,94,0,10856,3.193730592727661,0.0602590677873143,0.4882092851879145,56.38297872340425,False
23,MC120,3600,1200,event_driven,900,900,0.6,120,43082.8,38433.000000000015,4649.799999999991,0.6833633984988273,101,53,94,0,10878,3.227318048477173,0.0608927933674938,0.4872219157933444,56.38297872340425,False
24,MC120,3600,1200,event_driven,900,900,0.6,120,40873.69999999996,36059.29999999998,4814.399999999977,0.7541306729699151,100,43,95,0,10885,2.8187992572784424,0.0655534710994986,0.3950390445567294,45.26315789473684,False
0,MC180,3600,1200,event_driven,900,900,0.6,180,42476.69999999995,37907.89999999999,4568.799999999963,0.6807601848424422,60,21,95,0,10910,1.1901757717132568,0.0566750367482503,0.1924839596700275,22.105263157894736,False
1,MC180,3600,1200,event_driven,900,900,0.6,180,40336.099999999955,37719.59999999996,2616.4999999999945,0.3918098836655763,71,38,95,0,10893,2.195366144180298,0.0577727932679025,0.3488478839621775,40.0,False
2,MC180,3600,1200,event_driven,900,900,0.6,180,42004.20000000002,38208.1,3796.100000000023,0.5611822543467961,47,25,95,0,10903,1.5718088150024414,0.0628723526000976,0.2292946895349903,26.31578947368421,False
3,MC180,3600,1200,event_driven,900,900,0.6,180,38557.19999999995,36192.09999999997,2365.0999999999804,0.369111394020142,78,34,94,0,10897,1.9631471633911133,0.0577396224526798,0.31201248049922,36.17021276595745,False
4,MC180,3600,1200,event_driven,900,900,0.6,180,40419.69999999999,36661.79999999999,3757.9000000000046,0.5789661353054322,34,25,95,0,10891,1.6137120723724363,0.0645484828948974,0.2295473326599944,26.31578947368421,False
5,MC180,3600,1200,event_driven,900,900,0.6,180,42102.29999999996,37522.19999999999,4580.099999999971,0.6894589172440643,60,28,94,0,10895,1.6323027610778809,0.0582965271813528,0.2569986232216613,29.78723404255319,False
6,MC180,3600,1200,event_driven,900,900,0.6,180,39455.29999999999,34617.100000000006,4838.199999999986,0.7894322443259216,58,27,95,0,10872,1.6307580471038818,0.0603984461890326,0.2483443708609271,28.421052631578945,False
7,MC180,3600,1200,event_driven,900,900,0.6,180,33866.59999999996,31725.79999999998,2140.79999999998,0.3486373866064813,43,16,79,0,8429,130.3201289176941,8.14500805735588,0.1898208565666152,20.253164556962027,True
8,MC180,3600,1200,event_driven,900,900,0.6,180,38585.3,34600.0,3985.2999999999984,0.6505888966524802,64,31,94,0,10879,1.8320064544677737,0.0590969824021862,0.2849526610901737,32.97872340425532,False
9,MC180,3600,1200,event_driven,900,900,0.6,180,40567.7,37511.2,3056.4999999999964,0.460240856415865,70,31,95,0,10887,1.8320133686065672,0.0590972054389215,0.2847432717920455,32.631578947368425,False
10,MC180,3600,1200,event_driven,900,900,0.6,180,40413.29999999998,34939.999999999985,5473.299999999994,0.8848060411254451,73,34,94,0,10873,2.176212787628174,0.0640062584596521,0.3127011864250897,36.17021276595745,False
11,MC180,3600,1200,event_driven,900,900,0.6,180,44530.90000000001,39188.49999999999,5342.400000000012,0.7700155363474978,57,33,95,0,10907,1.8952908515930176,0.0574330561088793,0.3025579902814706,34.73684210526316,False
12,MC180,3600,1200,event_driven,900,900,0.6,180,48760.299999999974,40203.69999999998,8556.599999999995,1.202145218332783,58,32,94,0,10899,1.894120693206787,0.0591912716627121,0.2936049178823745,34.04255319148936,False
13,MC180,3600,1200,event_driven,900,900,0.6,180,41663.09999999996,36470.999999999985,5192.099999999978,0.8041130375752372,46,30,95,0,10903,1.8217928409576416,0.0607264280319213,0.2751536274419884,31.57894736842105,False
14,MC180,3600,1200,event_driven,900,900,0.6,180,40654.399999999936,36710.99999999997,3943.399999999965,0.6067312219800526,65,20,95,0,10873,0.9796910285949708,0.0489845514297485,0.1839418743676998,21.052631578947366,False
15,MC180,3600,1200,event_driven,900,900,0.6,180,43206.89999999997,39564.099999999984,3642.799999999987,0.5200627686366004,73,31,94,0,10899,2.0270469188690186,0.0653886102860973,0.2844297641985503,32.97872340425532,False
16,MC180,3600,1200,event_driven,900,900,0.6,180,41311.599999999926,37820.69999999994,3490.899999999984,0.5213502333174879,42,22,95,0,10906,1.430924415588379,0.0650420188903808,0.2017238217494956,23.157894736842103,False
17,MC180,3600,1200,event_driven,900,900,0.6,180,41196.800000000025,38045.400000000016,3151.4000000000115,0.4678677418193906,73,34,94,0,10888,1.9910695552825928,0.0585608692730174,0.3122703894195444,36.17021276595745,False
18,MC180,3600,1200,event_driven,900,900,0.6,180,42977.89999999995,38710.79999999996,4267.099999999989,0.6226190447803013,72,37,94,0,10909,2.3542802333831787,0.0636291954968426,0.339169493079109,39.361702127659576,False
19,MC180,3600,1200,event_driven,900,900,0.6,180,44141.499999999985,39311.6,4829.8999999999905,0.693967521707933,66,34,94,0,10909,2.031217098236084,0.0597416793598848,0.3116692639105325,36.17021276595745,False
20,MC180,3600,1200,event_driven,900,900,0.6,180,43198.8,39686.69999999999,3512.1000000000095,0.4998545060228208,80,37,94,0,10902,2.3837645053863525,0.0644260677131446,0.3393872683911209,39.361702127659576,False
21,MC180,3600,1200,event_driven,900,900,0.6,180,38661.599999999926,37032.29999999995,1629.299999999976,0.2485089864971718,48,26,95,0,10880,1.5695922374725342,0.060368932210482,0.2389705882352941,27.368421052631582,False
22,MC180,3600,1200,event_driven,900,900,0.6,180,41196.79999999997,37611.199999999975,3585.599999999989,0.538476030286979,69,32,94,0,10890,1.9239318370819092,0.0601228699088096,0.2938475665748393,34.04255319148936,False
23,MC180,3600,1200,event_driven,900,900,0.6,180,44267.59999999992,38753.19999999992,5514.399999999999,0.8037341517518654,64,28,94,0,10903,1.7311124801635742,0.0618254457201276,0.2568100522791892,29.78723404255319,False
24,MC180,3600,1200,event_driven,900,900,0.6,180,39214.49999999998,34734.99999999999,4479.499999999987,0.7284235269552654,74,30,95,0,10887,1.9264326095581057,0.0642144203186035,0.2755580049600441,31.57894736842105,False
0,MC240,3600,1200,event_driven,900,900,0.6,240,40847.2,35757.09999999999,5090.100000000002,0.8040549911842612,25,7,95,0,10889,0.3990228176116943,0.0570032596588134,0.0642850583157314,7.368421052631578,False
1,MC240,3600,1200,event_driven,900,900,0.6,240,41457.59999999997,37643.49999999998,3814.099999999993,0.5723000789506288,43,21,94,0,10907,1.2216217517852783,0.0581724643707275,0.1925369029063904,22.340425531914892,False
2,MC240,3600,1200,event_driven,900,900,0.6,240,45163.89999999997,38268.59999999997,6895.300000000006,1.0177293948793311,29,13,95,0,10900,0.7812304496765137,0.0600946499751164,0.1192660550458715,13.684210526315791,False
3,MC240,3600,1200,event_driven,900,900,0.6,240,40210.399999999936,36789.699999999946,3420.699999999992,0.5251827680985838,32,14,94,0,10907,0.877661943435669,0.0626901388168335,0.1283579352709269,14.893617021276595,False
4,MC240,3600,1200,event_driven,900,900,0.6,240,41382.599999999984,37914.499999999985,3468.1000000000017,0.5166637658850406,31,17,95,0,10908,1.094255447387695,0.0643679674933938,0.1558489182251558,17.894736842105264,False
5,MC240,3600,1200,event_driven,900,900,0.6,240,42082.39999999994,37538.29999999996,4544.099999999981,0.6837463264259342,38,15,94,0,10902,0.9182426929473876,0.0612161795298258,0.1375894331315355,15.95744680851064,False
6,MC240,3600,1200,event_driven,900,900,0.6,240,43694.89999999997,36363.39999999997,7331.5,1.1388068802667008,25,14,95,0,10902,0.7060763835906982,0.0504340273993355,0.1284168042560998,14.736842105263156,False
7,MC240,3600,1200,event_driven,900,900,0.6,240,43284.899999999914,38712.599999999926,4572.299999999987,0.6671202203354519,25,8,95,0,10916,0.4380989074707031,0.0547623634338378,0.0732869182850861,8.421052631578947,False
8,MC240,3600,1200,event_driven,900,900,0.6,240,39459.29999999997,32462.699999999975,6996.59999999999,1.217374313992894,22,11,95,0,10885,0.7132580280303955,0.0648416389118541,0.1010564997703261,11.578947368421051,False
9,MC240,3600,1200,event_driven,900,900,0.6,240,42796.09999999999,35966.099999999984,6830.000000000007,1.072627884542439,34,17,95,0,10888,1.017451286315918,0.0598500756656422,0.1561351947097722,17.894736842105264,False
10,MC240,3600,1200,event_driven,900,900,0.6,240,41668.99999999995,35585.29999999996,6083.699999999995,0.9656480884825176,33,17,95,0,10893,1.0908422470092771,0.0641671910005457,0.156063527035711,17.894736842105264,False
